"Representative","State","Amount"
"Nye Glenn (D-VA)","Virginia","$12033"
"Shepherd Karen F (D-UT)","Utah","$12015"
"Hayes Robin (R-NC)","North Carolina","$12000"
"Meyers Jan (R-KS)","Kansas","$12000"
"Murphy Tim (R-PA)","Pennsylvania","$12000"
"White Rick (R-WA)","Washington","$12000"
"Burns Max (R-GA)","Georgia","$11968"
"Rahall Nick (D-WV)","West Virginia","$11800"
"Bonior David E (D-MI)","Michigan","$11750"
"Solis Hilda L (D-CA)","California","$11750"
"Meuser Dan (R-PA)","Pennsylvania","$11543"
"Etheridge Bob (D-NC)","North Carolina","$11525"
"Clay William L (D-MO)","Missouri","$11500"
"Richardson Bill (D)","","$11250"
"Armstrong Kelly (R-ND)","North Dakota","$11200"
"Derrick Butler C Jr (D-SC)","South Carolina","$11200"
"Buechner Jack (R-MO)","Missouri","$11000"
"Crane Phil (R-IL)","Illinois","$11000"
"Douglas Chuck (R-NH)","New Hampshire","$11000"
"Klein Herbert C (D-NJ)","New Jersey","$11000"
"Lucas Frank D (R-OK)","Oklahoma","$11000"
"Lewis Jerry (R-CA)","California","$10750"
"Miller Candice S (R-MI)","Michigan","$10750"
"Ravenel Arthur Jr (R-SC)","South Carolina","$10750"
"Sarpalius William Clarence (D-TX)","Texas","$10650"
"Casar Greg (D-TX)","Texas","$10550"
"Biggs Sheri (R-SC)","South Carolina","$10500"
"Lucas Ken (D-KY)","Kentucky","$10500"
"Spence Floyd D (R-SC)","South Carolina","$10500"
"Norman Ralph (R-SC)","South Carolina","$10400"
"Dunn Jennifer (R-WA)","Washington","$10350"
"Hollingsworth Trey (R-IN)","Indiana","$10250"
"Lehman William (D-FL)","Florida","$10250"
"Thompson Jill Long (D-IN)","Indiana","$10250"
"Gallo Dean A (R-NJ)","New Jersey","$10200"
"Vander Jagt Guy A (R-MI)","Michigan","$10200"
"McMahon Michael E (D-NY)","New York","$10150"
"Takai Mark (D-HI)","Hawaii","$10136"
"Brooks Susan (R-IN)","Indiana","$10100"
"Broomfield William S (R-MI)","Michigan","$10000"
"Knott Brad (R-NC)","North Carolina","$10000"
"McDade Joseph M (R-PA)","Pennsylvania","$10000"
"Michel Robert H (R-IL)","Illinois","$10000"
"Pittenger Robert (R-NC)","North Carolina","$10000"
"Roemer Tim (D-IN)","Indiana","$9950"
"Sandlin Max (D-TX)","Texas","$9950"
"Geren Pete (D-TX)","Texas","$9800"
"Grimm Michael (R-NY)","New York","$9800"
"Keller Ric (R-FL)","Florida","$9750"
"Turner Robert L (R-NY)","New York","$9750"
"Cravaack Chip (R-MN)","Minnesota","$9500"
"Jolly David (R-FL)","Florida","$9500"
"Yatron Gus (D-PA)","Pennsylvania","$9500"
"Sangmeister George E (D-IL)","Illinois","$9450"
"Fossella Vito (R-NY)","New York","$9250"
"Meehan Patrick (R-PA)","Pennsylvania","$9250"
"Shuler Heath (D-NC)","North Carolina","$9250"
"Watt Melvin L (D-NC)","North Carolina","$9227"
"McHugh Matthew F (D-NY)","New York","$9050"
"Blute Peter I (R-MA)","Massachusetts","$9000"
"Bradley Jeb (R-NH)","New Hampshire","$9000"
"Fascell Dante B (D-FL)","Florida","$9000"
"Harris Claude Jr (D-AL)","Alabama","$9000"
"Cook Paul (R-CA)","California","$8750"
"Grandy Fred (R-IA)","Iowa","$8750"
"Guinta Frank (R-NH)","New Hampshire","$8750"
"Boren Dan (D-OK)","Oklahoma","$8600"
"Lowery William D (R-CA)","California","$8550"
"Cubin Barbara (R-WY)","Wyoming","$8500"
"Forbes Randy (R-VA)","Virginia","$8500"
"Holden Tim (D-PA)","Pennsylvania","$8500"
"Kissell Larry (D-NC)","North Carolina","$8500"
"Frost Maxwell (D-FL)","Florida","$8354"
"Sundquist Donald Kenneth (R-TN)","Tennessee","$8350"
"Boyda Nancy (D-KS)","Kansas","$8250"
"Ganske Greg (R-IA)","Iowa","$8250"
"Scarborough Joe (R-FL)","Florida","$8250"
"Thornton Ray (D-AR)","Arkansas","$8250"
"Jones Brenda (D-MI)","Michigan","$8225"
"Brat Dave (R-VA)","Virginia","$8100"
"Sharp Philip R (D-IN)","Indiana","$8050"
"Benishek Dan (R-MI)","Michigan","$8000"
"Cooksey John (R-LA)","Louisiana","$8000"
"Davis Jo Ann (R-VA)","Virginia","$8000"
"Emerson Bill (R-MO)","Missouri","$8000"
"Goss Porter (R-FL)","Florida","$8000"
"Sanford Mark (R)","","$8000"
"Burgess Michael (R-TX)","Texas","$7900"
"Bentz Cliff (R-OR)","Oregon","$7750"
"Pappas Mike (R-NJ)","New Jersey","$7750"
"Walsh James T (R-NY)","New York","$7750"
"Runyan Jon (R-NJ)","New Jersey","$7550"
"Bevill Tom (D-AL)","Alabama","$7500"
"Grant Bill (R-FL)","Florida","$7500"
"Klug Scott L (R-WI)","Wisconsin","$7500"
"Ehrlich Bob (R-MD)","Maryland","$7400"
"Latham Tom (R-IA)","Iowa","$7400"
"Pickering Charles (Chip) Jr (R-MS)","Mississippi","$7350"
"Southerland Steve (R-FL)","Florida","$7250"
"English Phil (R-PA)","Pennsylvania","$7200"
"Fields Cleo (D-LA)","Louisiana","$7200"
"Baca Joe (D-CA)","California","$7088"
"Lewis Jason (R-MN)","Minnesota","$7050"
"Coughlin R Lawrence (R-PA)","Pennsylvania","$7000"
"Fattah Chaka (D-PA)","Pennsylvania","$7000"
"Holloway Clyde C (R-LA)","Louisiana","$7000"
"Skeen Joe (R-NM)","New Mexico","$7000"
"Wilson Charlie (D-OH)","Ohio","$7000"
"Furse Elizabeth (D-OR)","Oregon","$6963"
"Costello Jerry F (D-IL)","Illinois","$6850"
"Wamp Zach (R-TN)","Tennessee","$6800"
"Hardy Cresent (R-NV)","Nevada","$6750"
"Torres Esteban E (D-CA)","California","$6750"
"Bridenstine James (R-OK)","Oklahoma","$6700"
"Zeliff Bill (R-NH)","New Hampshire","$6700"
"Camp Dave (R-MI)","Michigan","$6550"
"Davis Jim (D-FL)","Florida","$6550"
"Gibbons Sam (D-FL)","Florida","$6550"
"Gaetz Matt (R-FL)","Florida","$6535"
"Doolittle John T (R-CA)","California","$6500"
"Martinez Matthew G (D-CA)","California","$6500"
"McHale Paul (D-PA)","Pennsylvania","$6500"
"Pitts Joe (R-PA)","Pennsylvania","$6500"
"Schuette Bill (R-MI)","Michigan","$6500"
"Beilenson Anthony C (D-CA)","California","$6450"
"Davidson Warren (R-OH)","Ohio","$6400"
"Taylor Van (R-TX)","Texas","$6400"
"Chrysler Dick (R-MI)","Michigan","$6300"
"Borski Bob (D-PA)","Pennsylvania","$6250"
"Greenwood James C (R-PA)","Pennsylvania","$6250"
"Ney Bob (R-OH)","Ohio","$6250"
"Tancredo Tom (3)","","$6250"
"Tucker Walter R III (D-CA)","California","$6250"
"Wise Bob (D-WV)","West Virginia","$6250"
"Ballenger Cass (R-NC)","North Carolina","$6150"
"Eckart Dennis E (D-OH)","Ohio","$6150"
"Kuykendall Steven T (R-CA)","California","$6083"
"Clarke Hansen (D-MI)","Michigan","$6000"
"Houghton Amo (R-NY)","New York","$6000"
"Hunter Duncan D (R-CA)","California","$6000"
"Hyde Henry J (R-IL)","Illinois","$6000"
"Lewis Ron (R-KY)","Kentucky","$6000"
"Rostenkowski Dan (D-IL)","Illinois","$6000"
"Ryun Jim (R-KS)","Kansas","$6000"
"Terry Lee (R-NE)","Nebraska","$6000"
"Carney John (D-DE)","Delaware","$5924"
"Bentley Helen Delich (R-MD)","Maryland","$5850"
"Bustamante Albert G (D-TX)","Texas","$5850"
"Brady Kevin (R-TX)","Texas","$5750"
"Luken Charles John (D-OH)","Ohio","$5750"
"Williams Pat (D-MT)","Montana","$5750"
"Cremeans Frank A (R-OH)","Ohio","$5550"
"Brewster Bill (D-OK)","Oklahoma","$5500"
"Christensen Jon (R-NE)","Nebraska","$5500"
"Ellmers Renee (R-NC)","North Carolina","$5500"
"Millender-McDonald Juanita (D-CA)","California","$5500"
"Miller Gary (R-CA)","California","$5500"
"Rigell Scott (R-VA)","Virginia","$5500"
"Shows Ronnie (D-MS)","Mississippi","$5500"
"Tate Randy (R-WA)","Washington","$5500"
"Begich Nick III (R-AK)","Alaska","$5482"
"Delaney John K (D)","","$5434"
"Goode Virgil (3)","","$5300"
"Hefley Joel (R-CO)","Colorado","$5250"
"Hice Jody (R-GA)","Georgia","$5250"
"Miller Mary (R-IL)","Illinois","$5250"
"Platts Todd (R-PA)","Pennsylvania","$5250"
"Sali Bill (R-ID)","Idaho","$5250"
"Walden Greg (R-OR)","Oregon","$5250"
"Wied Tony (R-WI)","Wisconsin","$5238"
"Gibson Chris (R-NY)","New York","$5100"
"Anthony Beryl F Jr (D-AR)","Arkansas","$5000"
"Barcia Jim (D-MI)","Michigan","$5000"
"Boehlert Sherwood (R-NY)","New York","$5000"
"Conte Silvio O (R-MA)","Massachusetts","$5000"
"Danner Pat (D-MO)","Missouri","$5000"
"Flake Floyd H (D-NY)","New York","$5000"
"Kuhl John R Jr (R-NY)","New York","$5000"
"LaHood Ray (R-IL)","Illinois","$5000"
"Neal Stephen L (D-NC)","North Carolina","$5000"
"Quillen James H (R-TN)","Tennessee","$5000"
"Rose Charlie (D-NC)","North Carolina","$5000"
"Schrock Ed (R-VA)","Virginia","$5000"
"Snowbarger Vince (R-KS)","Kansas","$5000"
"Tauzin Billy (R-LA)","Louisiana","$5000"
"Wright Jim (D-TX)","Texas","$5000"
"Schwarz Joe (R-MI)","Michigan","$4950"
"Kahele Kai (D-HI)","Hawaii","$4800"
"Hart Melissa (R-PA)","Pennsylvania","$4750"
"Phelps David (D-IL)","Illinois","$4750"
"Hayes Jimmy (R-LA)","Louisiana","$4550"
"Tlaib Rashida (D-MI)","Michigan","$4510"
"Clement Bob (D-TN)","Tennessee","$4500"
"Huckaby Jerry (D-LA)","Louisiana","$4500"
"Janklow Bill (R-SD)","South Dakota","$4500"
"Jontz James (D-IN)","Indiana","$4500"
"Ward Mike (D-KY)","Kentucky","$4500"
"Waters Maxine (D-CA)","California","$4500"
"Farenthold Blake (R-TX)","Texas","$4300"
"Funderburk David (R-NC)","North Carolina","$4250"
"Hill Rick (R-MT)","Montana","$4250"
"Lipinski Bill (D-IL)","Illinois","$4250"
"Byrne Leslie L (D-VA)","Virginia","$4119"
"Coble Howard (R-NC)","North Carolina","$4050"
"Martini Bill (R-NJ)","New Jersey","$4050"
"Hamburg Dan (D-CA)","California","$4040"
"Campbell John (R-CA)","California","$4000"
"Condit Gary A (D-CA)","California","$4000"
"Cox John W Jr (D-IL)","Illinois","$4000"
"Dyson Roy (D-MD)","Maryland","$4000"
"Frisa Daniel (R-NY)","New York","$4000"
"Stenholm Charles W (D-TX)","Texas","$4000"
"Thompson Bennie G (D-MS)","Mississippi","$4000"
"Richardson Laura (D-CA)","California","$3900"
"Ballance Frank W Jr (D-NC)","North Carolina","$3750"
"Garrett Tom (R-VA)","Virginia","$3750"
"Kennelly Barbara B (D-CT)","Connecticut","$3700"
"Hamadeh Abraham (R-AZ)","Arizona","$3505"
"Bono Sonny (R-CA)","California","$3500"
"Ford William D (D-MI)","Michigan","$3500"
"Hiler John (R-IN)","Indiana","$3500"
"Seastrand Andrea (R-CA)","California","$3500"
"Thornberry Mac (R-TX)","Texas","$3500"
"Turner Jim (D-TX)","Texas","$3500"
"Akin Todd (R-MO)","Missouri","$3250"
"Cannon Chris (R-UT)","Utah","$3250"
"Chapman Jim (D-TX)","Texas","$3250"
"Jacobs Chris (R-NY)","New York","$3250"
"McNulty Michael R (D-NY)","New York","$3200"
"McKinley David (R-WV)","West Virginia","$3100"
"Payne LF Jr (D-VA)","Virginia","$3100"
"Moakley Joe (D-MA)","Massachusetts","$3050"
"Inglis Bob (R-SC)","South Carolina","$3004"
"Bryant John (D-TX)","Texas","$3000"
"Carson Julia (D-IN)","Indiana","$3000"
"Childers Travis (D-MS)","Mississippi","$3000"
"McEwen Bob (R-OH)","Ohio","$3000"
"Scheuer James H (D-NY)","New York","$3000"
"Andrews Michael Allen (D-TX)","Texas","$2968"
"Clayton Eva M (D-NC)","North Carolina","$2950"
"Berry Marion (D-AR)","Arkansas","$2750"
"Abercrombie Neil (D-HI)","Hawaii","$2575"
"Mavroules Nicholas (D-MA)","Massachusetts","$2550"
"Blackwell Lucien E (D-PA)","Pennsylvania","$2500"
"Darden Buddy (D-GA)","Georgia","$2500"
"Hertel Dennis M (D-MI)","Michigan","$2500"
"Longley James B Jr (R-ME)","Maine","$2500"
"McAllister Vance (R-LA)","Louisiana","$2500"
"Mulvaney Mick (R-SC)","South Carolina","$2500"
"Ose Doug (R-CA)","California","$2500"
"Tejeda Frank (D-TX)","Texas","$2500"
"Collins Barbara-Rose (D-MI)","Michigan","$2250"
"Greene Marjorie Taylor (R-GA)","Georgia","$2250"
"Johnson Jay (D-WI)","Wisconsin","$2250"
"Dornan Robert K (R-CA)","California","$2100"
"Capps Walter H (D-CA)","California","$2090"
"Neugebauer Randy (R-TX)","Texas","$2062"
"Bryant Ed (R-TN)","Tennessee","$2000"
"Clawson Curt (R-FL)","Florida","$2000"
"Flanagan Michael Patrick (R-IL)","Illinois","$2000"
"Ford Harold E (D-TN)","Tennessee","$2000"
"James Craig Taylor (R-FL)","Florida","$2000"
"Jenkins Edgar L (D-GA)","Georgia","$2000"
"Mann David S (D-OH)","Ohio","$2000"
"McKinney Cynthia (3)","","$2000"
"Smith Nick (R-MI)","Michigan","$2000"
"Tierney John F (D-MA)","Massachusetts","$2000"
"Ritter Don (R-PA)","Pennsylvania","$1850"
"Lehman Richard H (D-CA)","California","$1750"
"Otter C L (Butch) (R-ID)","Idaho","$1750"
"Washington Craig A (D-TX)","Texas","$1750"
"Nichols Richard D (R-KS)","Kansas","$1550"
"Atkins Chester Greenough (D-MA)","Massachusetts","$1500"
"Barton Joe (R-TX)","Texas","$1500"
"Bereuter Doug (R-NE)","Nebraska","$1500"
"Collins Chris (R-NY)","New York","$1500"
"Hulshof Kenny (R-MO)","Missouri","$1500"
"Kanjorski Paul E (D-PA)","Pennsylvania","$1500"
"Kim Jay C (R-CA)","California","$1500"
"Lynch Stephen (D-MA)","Massachusetts","$1500"
"McGrath Raymond J (R-NY)","New York","$1500"
"Orton Bill (D-UT)","Utah","$1500"
"Peterson John E (R-PA)","Pennsylvania","$1500"
"Radanovich George (R-CA)","California","$1500"
"Simon Lateefah (D-CA)","California","$1500"
"Spano Ross (R-FL)","Florida","$1500"
"Tiberi Pat (R-OH)","Ohio","$1500"
"Alexander William Vollie Jr (D-AR)","Arkansas","$1250"
"Levy David A (3-NY)","New York","$1250"
"Myrick Sue (R-NC)","North Carolina","$1250"
"Russo Martin A (D-IL)","Illinois","$1250"
"Westmoreland Lynn A (R-GA)","Georgia","$1250"
"Young C W Bill (R-FL)","Florida","$1250"
"English Karan (D-AZ)","Arizona","$1199"
"Cawthorn Madison (R-NC)","North Carolina","$1180"
"Fortenberry Jeff (R-NE)","Nebraska","$1160"
"Baker Bill (R-CA)","California","$1000"
"Barrett Gresham (R-SC)","South Carolina","$1000"
"Bruce Terry L (D-IL)","Illinois","$1000"
"Coyne William J (D-PA)","Pennsylvania","$1000"
"Fish Hamilton Jr (R-NY)","New York","$1000"
"Gianforte Greg (R-MT)","Montana","$1000"
"Hubbard Carroll Jr (D-KY)","Kentucky","$1000"
"Manton Thomas J (D-NY)","New York","$1000"
"Martin Lynn (R-IL)","Illinois","$1000"
"Miller Clarence E (R-OH)","Ohio","$1000"
"Mineta Norman Y (D-CA)","California","$1000"
"Packard Ron (R-CA)","California","$1000"
"Pease Ed (R-IN)","Indiana","$1000"
"Rhodes John Jacob III (R-AZ)","Arizona","$1000"
"Schneider Claudine C (R-RI)","Rhode Island","$1000"
"Snyder Vic (D-AR)","Arkansas","$1000"
"Stark Pete (D-CA)","California","$1000"
"Studds Gerry E (D-MA)","Massachusetts","$1000"
"Thomas Bill (R-CA)","California","$1000"
"Volkmer Harold L (D-MO)","Missouri","$1000"
"Weiss Ted (D-NY)","New York","$1000"
"Wright Ron (R-TX)","Texas","$1000"
"Moran Jim (D-VA)","Virginia","$850"
"Collins Cardiss (D-IL)","Illinois","$800"
"Bartlett Roscoe G (R-MD)","Maryland","$750"
"Coleman E Thomas (R-MO)","Missouri","$750"
"Dexter Maxine (D-OR)","Oregon","$750"
"Hall Tony P (D-OH)","Ohio","$750"
"McMillan J Alex (R-NC)","North Carolina","$750"
"Smith Bob (R-OR)","Oregon","$750"
"Johnson Nancy L (R-CT)","Connecticut","$700"
"Patterson Elizabeth J (D-SC)","South Carolina","$600"
"Huelskamp Tim (R-KS)","Kansas","$550"
"Broun Paul (R-GA)","Georgia","$500"
"Clyde Andrew (R-GA)","Georgia","$500"
"Collins Mac (R-GA)","Georgia","$500"
"Cooley Wes (R-OR)","Oregon","$500"
"Cox Christopher (R-CA)","California","$500"
"Crane Eli (R-AZ)","Arizona","$500"
"Crockett Jasmine (D-TX)","Texas","$500"
"Fallin Mary (R-OK)","Oklahoma","$500"
"Gibbons Jim (R-NV)","Nevada","$500"
"Good Bob (R-VA)","Virginia","$500"
"Hastings Doc (R-WA)","Washington","$500"
"Hughes Bill (D-NJ)","New Jersey","$500"
"Hutchinson Asa (R-AR)","Arkansas","$500"
"Marlenee Ron (R-MT)","Montana","$500"
"McCandless Alfred A (R-CA)","California","$500"
"Morrison Bruce A (D-CT)","Connecticut","$500"
"Oberstar James L (D-MN)","Minnesota","$500"
"Paul Ron (R)","","$500"
"Peterson Pete (D-FL)","Florida","$500"
"Riggs Frank (R-CA)","California","$500"
"Sabo Martin Olav (D-MN)","Minnesota","$500"
"Synar Michael Lynn (D-OK)","Oklahoma","$500"
"Udall Morris King (D-AZ)","Arizona","$500"
"Klink Ron (D-PA)","Pennsylvania","$450"
"Joyce John (R-PA)","Pennsylvania","$400"
"Ocasio-Cortez Alexandria (D-NY)","New York","$387"
"Stockman Steve (R-TX)","Texas","$300"
"Baldacci John (D-ME)","Maine","$250"
"Baumgartner Michael (R-WA)","Washington","$250"
"Deal Nathan (R-GA)","Georgia","$250"
"Ewing Thomas W (R-IL)","Illinois","$250"
"Fawell Harris W (R-IL)","Illinois","$250"
"Gillmor Paul E (R-OH)","Ohio","$250"
"Jones Walter B (D-NC)","North Carolina","$250"
"Kreidler Mike (D-WA)","Washington","$250"
"Minge David (D-MN)","Minnesota","$250"
"Smith Lamar (R-TX)","Texas","$250"
"Watkins Wes (R-OK)","Oklahoma","$250"
"Woodall Rob (R-GA)","Georgia","$250"
"Gunderson Steve (R-WI)","Wisconsin","$200"
"Roukema Marge (R-NJ)","New Jersey","$50"
"Collins Mike (R-GA)","Georgia","$20"
"Bush Cori (D-MO)","Missouri","$18"
"Pressley Ayanna (D-MA)","Massachusetts","$5"
