"Representative","State","Amount"
"Kolbe Jim (R-AZ)","Arizona","$139900"
"Edwards Donna (D-MD)","Maryland","$139442"
"Wexton Jennifer (D-VA)","Virginia","$139083"
"Aderholt Robert B (R-AL)","Alabama","$137952"
"King Pete (R-NY)","New York","$137850"
"Cicilline David (D-RI)","Rhode Island","$136850"
"Donnelly Joe (D-IN)","Indiana","$136783"
"D'Esposito Anthony (R-NY)","New York","$136462"
"Wolf Frank (R-VA)","Virginia","$135750"
"Carson Brad R (D-OK)","Oklahoma","$135200"
"Crist Charlie (D-FL)","Florida","$134615"
"Grothman Glenn (R-WI)","Wisconsin","$134467"
"Connolly Gerry (D-VA)","Virginia","$134178"
"Berg Rick (R-ND)","North Dakota","$132400"
"Ellzey Jake (R-TX)","Texas","$132082"
"Zimmer Dick (R-NJ)","New Jersey","$131100"
"Neal Richard E (D-MA)","Massachusetts","$130400"
"Mace Nancy (R-SC)","South Carolina","$130307"
"Steil Bryan (R-WI)","Wisconsin","$130303"
"Goldman Craig (R-TX)","Texas","$130050"
"Rogers Hal (R-KY)","Kentucky","$129700"
"Schock Aaron (R-IL)","Illinois","$129600"
"Davis Rodney (R-IL)","Illinois","$128987"
"Stanton Greg (D-AZ)","Arizona","$128940"
"Ford Harold E Jr (D-TN)","Tennessee","$128549"
"Garcia Joe (D-FL)","Florida","$128453"
"Newman Marie (D-IL)","Illinois","$127813"
"Saxton Jim (R-NJ)","New Jersey","$127415"
"Kildee Dan (D-MI)","Michigan","$126561"
"Lazio Rick A (R-NY)","New York","$125800"
"Lewis John (D-GA)","Georgia","$125183"
"Jackson Ronny (R-TX)","Texas","$122788"
"Bourdeaux Carolyn (D-GA)","Georgia","$122722"
"Donalds Byron (R-FL)","Florida","$121507"
"Moulton Seth (D-MA)","Massachusetts","$121266"
"LoBiondo Frank (R-NJ)","New Jersey","$120500"
"Lee Susie (D-NV)","Nevada","$119905"
"Hanabusa Colleen (D-HI)","Hawaii","$118068"
"Scott David (D-GA)","Georgia","$117950"
"Murphy Patrick J (D-PA)","Pennsylvania","$117553"
"Heck Joe (R-NV)","Nevada","$117500"
"Holt Rush (D-NJ)","New Jersey","$117166"
"Pfluger August (R-TX)","Texas","$116955"
"DeSantis Ron (R)","","$116200"
"Houlahan Chrissy (D-PA)","Pennsylvania","$115311"
"Van Duyne Beth (R-TX)","Texas","$114707"
"Lamb Conor (D-PA)","Pennsylvania","$114579"
"Johnson Hank (D-GA)","Georgia","$114300"
"Veasey Marc (D-TX)","Texas","$114078"
"De La Cruz Monica (R-TX)","Texas","$113815"
"Yakym Rudy (R-IN)","Indiana","$113793"
"Letlow Julia (R-LA)","Louisiana","$113460"
"Lee Barbara (D-CA)","California","$113457"
"LaHood Darin (R-IL)","Illinois","$112687"
"Waxman Henry (D-CA)","California","$112000"
"Kelly Mike (R-PA)","Pennsylvania","$111650"
"Graves Garret (R-LA)","Louisiana","$111200"
"Harris Andy (R-MD)","Maryland","$110194"
"Stallings Richard (D-ID)","Idaho","$110050"
"Hodes Paul W (D-NH)","New Hampshire","$109536"
"Smith Jason (R-MO)","Missouri","$109456"
"Smith Bob (R-NH)","New Hampshire","$108894"
"Kelly Robin (D-IL)","Illinois","$108872"
"Faso John (R-NY)","New York","$108168"
"Hinson Ashley (R-IA)","Iowa","$108044"
"Sutton Betty Sue (D-OH)","Ohio","$107915"
"Van Drew Jeff (R-NJ)","New Jersey","$107132"
"Barrow John (D-GA)","Georgia","$106674"
"Larsen Rick (D-WA)","Washington","$106600"
"Kilroy Mary Jo (D-OH)","Ohio","$105710"
"Eshoo Anna (D-CA)","California","$105425"
"Kennedy Patrick J (D-RI)","Rhode Island","$105366"
"Van Orden Derrick (R-WI)","Wisconsin","$105048"
"Barragan Nanette (D-CA)","California","$105032"
